Time,Open,High,Low,Last,Change,%Chg,Volume
"2023-06-07 19:57",14334.75,14335.5,14334.5,14335.5,0.5,0.00%,39
"2023-06-07 19:58",14335.5,14335.5,14334,14334.75,-0.75,-0.01%,104
"2023-06-07 19:59",14334.75,14335.25,14334.25,14334.25,-0.5,0.00%,46
"2023-06-07 20:00",14334.25,14335,14333.75,14333.75,-0.5,0.00%,89
"2023-06-07 20:01",14333,14333.75,14333,14333.25,-0.5,0.00%,67
"2023-06-07 20:02",14333.25,14333.25,14331.5,14332.5,-0.75,-0.01%,117
"2023-06-07 20:03",14331.75,14331.75,14330,14331.25,-1.25,-0.01%,129
"2023-06-07 20:04",14331,14331.25,14330.25,14330.5,-0.75,-0.01%,72
"2023-06-07 20:05",14330.25,14332,14330.25,14331.5,1,+0.01%,80
"2023-06-07 20:06",14331.75,14332.25,14331.25,14331.25,-0.25,0.00%,52
"2023-06-07 20:07",14331.25,14332,14331.25,14331.25,0,0.00%,79
"2023-06-07 20:08",14331.5,14332,14331.5,14331.5,0.25,0.00%,48
"2023-06-07 20:09",14331.75,14333,14331.75,14332.25,0.75,+0.01%,58
"2023-06-07 20:10",14332,14334,14332,14332.75,0.5,0.00%,74
"2023-06-07 20:11",14332.75,14333.25,14332,14332.5,-0.25,0.00%,87
"2023-06-07 20:12",14332.5,14333,14332,14332,-0.5,0.00%,19
"2023-06-07 20:13",14331.75,14332.25,14330.75,14332,0,0.00%,75
"2023-06-07 20:14",14332,14332.75,14332,14332.25,0.25,0.00%,84
"2023-06-07 20:15",14332,14332.75,14331.5,14331.75,-0.5,0.00%,142
"2023-06-07 20:16",14331.75,14333.5,14331.75,14332.5,0.75,+0.01%,127
"2023-06-07 20:17",14332.5,14333,14332.25,14332.25,-0.25,0.00%,54
"2023-06-07 20:18",14332.75,14333.75,14331.75,14332,-0.25,0.00%,149
"2023-06-07 20:19",14332.5,14332.5,14331.25,14332.5,0.5,0.00%,73
"2023-06-07 20:20",14332.25,14333.75,14331.5,14333.75,1.25,+0.01%,76
"2023-06-07 20:21",14333.5,14334.75,14333.5,14334,0.25,0.00%,168
"2023-06-07 20:22",14334.25,14334.5,14331.5,14332,-2.,-0.01%,142
"2023-06-07 20:23",14332.25,14332.75,14331,14332,0,0.00%,174
"2023-06-07 20:24",14332.5,14333.25,14332.5,14333.25,1.25,+0.01%,57
"2023-06-07 20:25",14333.25,14334,14333.25,14334,0.75,+0.01%,68
